Date,RetailDayOfYear,RetailMonth,RetailYear,RetailWeek,RetailSemester,RetailMonthEnd,RetailWeekEnd,RetailSemesterEnd,IsWeekend,RetailYearStartPrev,MonthName,MonthAbbr
2018-07-18,164,6,2018,24,1,,2018-07-22,2018-08-05,False,2017-02-06,July,Jul
2018-07-19,165,6,2018,24,1,,2018-07-22,2018-08-05,False,2017-02-06,July,Jul
2018-07-20,166,6,2018,24,1,,2018-07-22,2018-08-05,False,2017-02-06,July,Jul
2018-07-21,167,6,2018,24,1,,2018-07-22,2018-08-05,True,2017-02-06,July,Jul
2018-07-22,168,6,2018,24,1,,2018-07-22,2018-08-05,False,2017-02-06,July,Jul
2018-07-23,169,6,2018,25,1,,2018-07-29,2018-08-05,False,2017-02-06,July,Jul
2018-07-24,170,6,2018,25,1,,2018-07-29,2018-08-05,False,2017-02-06,July,Jul
2018-07-25,171,6,2018,25,1,,2018-07-29,2018-08-05,False,2017-02-06,July,Jul
2018-07-26,172,6,2018,25,1,,2018-07-29,2018-08-05,False,2017-02-06,July,Jul
2018-07-27,173,6,2018,25,1,,2018-07-29,2018-08-05,False,2017-02-06,July,Jul
2018-07-28,174,6,2018,25,1,,2018-07-29,2018-08-05,True,2017-02-06,July,Jul
2018-07-29,175,6,2018,25,1,,2018-07-29,2018-08-05,False,2017-02-06,July,Jul
2018-07-30,176,6,2018,26,1,2018-08-05,2018-08-05,2018-08-05,False,2017-02-06,July,Jul
2018-07-31,177,6,2018,26,1,2018-08-05,2018-08-05,2018-08-05,False,2017-02-06,July,Jul
2018-08-01,178,6,2018,26,1,2018-08-05,2018-08-05,2018-08-05,False,2017-02-06,August,Aug
2018-08-02,179,6,2018,26,1,2018-08-05,2018-08-05,2018-08-05,False,2017-02-06,August,Aug
2018-08-03,180,6,2018,26,1,2018-08-05,2018-08-05,2018-08-05,False,2017-02-06,August,Aug
2018-08-04,181,6,2018,26,1,2018-08-05,2018-08-05,2018-08-05,True,2017-02-06,August,Aug
2018-08-05,182,6,2018,26,1,2018-08-05,2018-08-05,2018-08-05,False,2017-02-06,August,Aug
2018-08-06,183,7,2018,27,2,,2018-08-12,2019-02-03,False,2017-02-06,August,Aug
2018-08-07,184,7,2018,27,2,,2018-08-12,2019-02-03,False,2017-02-06,August,Aug
2018-08-08,185,7,2018,27,2,,2018-08-12,2019-02-03,False,2017-02-06,August,Aug
2018-08-09,186,7,2018,27,2,,2018-08-12,2019-02-03,False,2017-02-06,August,Aug
2018-08-10,187,7,2018,27,2,,2018-08-12,2019-02-03,False,2017-02-06,August,Aug
2018-08-11,188,7,2018,27,2,,2018-08-12,2019-02-03,True,2017-02-06,August,Aug
2018-08-12,189,7,2018,27,2,,2018-08-12,2019-02-03,False,2017-02-06,August,Aug
2018-08-13,190,7,2018,28,2,,2018-08-19,2019-02-03,False,2017-02-06,August,Aug
2018-08-14,191,7,2018,28,2,,2018-08-19,2019-02-03,False,2017-02-06,August,Aug
2018-08-15,192,7,2018,28,2,,2018-08-19,2019-02-03,False,2017-02-06,August,Aug
2018-08-16,193,7,2018,28,2,,2018-08-19,2019-02-03,False,2017-02-06,August,Aug
2018-08-17,194,7,2018,28,2,,2018-08-19,2019-02-03,False,2017-02-06,August,Aug
2018-08-18,195,7,2018,28,2,,2018-08-19,2019-02-03,True,2017-02-06,August,Aug
2018-08-19,196,7,2018,28,2,,2018-08-19,2019-02-03,False,2017-02-06,August,Aug
2018-08-20,197,7,2018,29,2,,2018-08-26,2019-02-03,False,2017-02-06,August,Aug
2018-08-21,198,7,2018,29,2,,2018-08-26,2019-02-03,False,2017-02-06,August,Aug
2018-08-22,199,7,2018,29,2,,2018-08-26,2019-02-03,False,2017-02-06,August,Aug
2018-08-23,200,7,2018,29,2,,2018-08-26,2019-02-03,False,2017-02-06,August,Aug
2018-08-24,201,7,2018,29,2,,2018-08-26,2019-02-03,False,2017-02-06,August,Aug
2018-08-25,202,7,2018,29,2,,2018-08-26,2019-02-03,True,2017-02-06,August,Aug
2018-08-26,203,7,2018,29,2,,2018-08-26,2019-02-03,False,2017-02-06,August,Aug
2018-08-27,204,7,2018,30,2,2018-09-02,2018-09-02,2019-02-03,False,2017-02-06,August,Aug
2018-08-28,205,7,2018,30,2,2018-09-02,2018-09-02,2019-02-03,False,2017-02-06,August,Aug
2018-08-29,206,7,2018,30,2,2018-09-02,2018-09-02,2019-02-03,False,2017-02-06,August,Aug
2018-08-30,207,7,2018,30,2,2018-09-02,2018-09-02,2019-02-03,False,2017-02-06,August,Aug
2018-08-31,208,7,2018,30,2,2018-09-02,2018-09-02,2019-02-03,False,2017-02-06,August,Aug
2018-09-01,209,7,2018,30,2,2018-09-02,2018-09-02,2019-02-03,True,2017-02-06,September,Sep
2018-09-02,210,7,2018,30,2,2018-09-02,2018-09-02,2019-02-03,False,2017-02-06,September,Sep
2018-09-03,211,8,2018,31,2,,2018-09-09,2019-02-03,False,2017-02-06,September,Sep
2018-09-04,212,8,2018,31,2,,2018-09-09,2019-02-03,False,2017-02-06,September,Sep
2018-09-05,213,8,2018,31,2,,2018-09-09,2019-02-03,False,2017-02-06,September,Sep
2018-09-06,214,8,2018,31,2,,2018-09-09,2019-02-03,False,2017-02-06,September,Sep
2018-09-07,215,8,2018,31,2,,2018-09-09,2019-02-03,False,2017-02-06,September,Sep
2018-09-08,216,8,2018,31,2,,2018-09-09,2019-02-03,True,2017-02-06,September,Sep
2018-09-09,217,8,2018,31,2,,2018-09-09,2019-02-03,False,2017-02-06,September,Sep
2018-09-10,218,8,2018,32,2,,2018-09-16,2019-02-03,False,2017-02-06,September,Sep
2018-09-11,219,8,2018,32,2,,2018-09-16,2019-02-03,False,2017-02-06,September,Sep
2018-09-12,220,8,2018,32,2,,2018-09-16,2019-02-03,False,2017-02-06,September,Sep
2018-09-13,221,8,2018,32,2,,2018-09-16,2019-02-03,False,2017-02-06,September,Sep
2018-09-14,222,8,2018,32,2,,2018-09-16,2019-02-03,False,2017-02-06,September,Sep
2018-09-15,223,8,2018,32,2,,2018-09-16,2019-02-03,True,2017-02-06,September,Sep
2018-09-16,224,8,2018,32,2,,2018-09-16,2019-02-03,False,2017-02-06,September,Sep
2018-09-17,225,8,2018,33,2,,2018-09-23,2019-02-03,False,2017-02-06,September,Sep
2018-09-18,226,8,2018,33,2,,2018-09-23,2019-02-03,False,2017-02-06,September,Sep
2018-09-19,227,8,2018,33,2,,2018-09-23,2019-02-03,False,2017-02-06,September,Sep
2018-09-20,228,8,2018,33,2,,2018-09-23,2019-02-03,False,2017-02-06,September,Sep
2018-09-21,229,8,2018,33,2,,2018-09-23,2019-02-03,False,2017-02-06,September,Sep
2018-09-22,230,8,2018,33,2,,2018-09-23,2019-02-03,True,2017-02-06,September,Sep
2018-09-23,231,8,2018,33,2,,2018-09-23,2019-02-03,False,2017-02-06,September,Sep
2018-09-24,232,8,2018,34,2,2018-09-30,2018-09-30,2019-02-03,False,2017-02-06,September,Sep
2018-09-25,233,8,2018,34,2,2018-09-30,2018-09-30,2019-02-03,False,2017-02-06,September,Sep
2018-09-26,234,8,2018,34,2,2018-09-30,2018-09-30,2019-02-03,False,2017-02-06,September,Sep
2018-09-27,235,8,2018,34,2,2018-09-30,2018-09-30,2019-02-03,False,2017-02-06,September,Sep
2018-09-28,236,8,2018,34,2,2018-09-30,2018-09-30,2019-02-03,False,2017-02-06,September,Sep
2018-09-29,237,8,2018,34,2,2018-09-30,2018-09-30,2019-02-03,True,2017-02-06,September,Sep
2018-09-30,238,8,2018,34,2,2018-09-30,2018-09-30,2019-02-03,False,2017-02-06,September,Sep
2018-10-01,239,9,2018,35,2,,2018-10-07,2019-02-03,False,2017-02-06,October,Oct
2018-10-02,240,9,2018,35,2,,2018-10-07,2019-02-03,False,2017-02-06,October,Oct
2018-10-03,241,9,2018,35,2,,2018-10-07,2019-02-03,False,2017-02-06,October,Oct
2018-10-04,242,9,2018,35,2,,2018-10-07,2019-02-03,False,2017-02-06,October,Oct
2018-10-05,243,9,2018,35,2,,2018-10-07,2019-02-03,False,2017-02-06,October,Oct
2018-10-06,244,9,2018,35,2,,2018-10-07,2019-02-03,True,2017-02-06,October,Oct
2018-10-07,245,9,2018,35,2,,2018-10-07,2019-02-03,False,2017-02-06,October,Oct
2018-10-08,246,9,2018,36,2,,2018-10-14,2019-02-03,False,2017-02-06,October,Oct
2018-10-09,247,9,2018,36,2,,2018-10-14,2019-02-03,False,2017-02-06,October,Oct
2018-10-10,248,9,2018,36,2,,2018-10-14,2019-02-03,False,2017-02-06,October,Oct
2018-10-11,249,9,2018,36,2,,2018-10-14,2019-02-03,False,2017-02-06,October,Oct
2018-10-12,250,9,2018,36,2,,2018-10-14,2019-02-03,False,2017-02-06,October,Oct
2018-10-13,251,9,2018,36,2,,2018-10-14,2019-02-03,True,2017-02-06,October,Oct
2018-10-14,252,9,2018,36,2,,2018-10-14,2019-02-03,False,2017-02-06,October,Oct
2018-10-15,253,9,2018,37,2,,2018-10-21,2019-02-03,False,2017-02-06,October,Oct
2018-10-16,254,9,2018,37,2,,2018-10-21,2019-02-03,False,2017-02-06,October,Oct
2018-10-17,255,9,2018,37,2,,2018-10-21,2019-02-03,False,2017-02-06,October,Oct
2018-10-18,256,9,2018,37,2,,2018-10-21,2019-02-03,False,2017-02-06,October,Oct
2018-10-19,257,9,2018,37,2,,2018-10-21,2019-02-03,False,2017-02-06,October,Oct
2018-10-20,258,9,2018,37,2,,2018-10-21,2019-02-03,True,2017-02-06,October,Oct
2018-10-21,259,9,2018,37,2,,2018-10-21,2019-02-03,False,2017-02-06,October,Oct
2018-10-22,260,9,2018,38,2,,2018-10-28,2019-02-03,False,2017-02-06,October,Oct
2018-10-23,261,9,2018,38,2,,2018-10-28,2019-02-03,False,2017-02-06,October,Oct
2018-10-24,262,9,2018,38,2,,2018-10-28,2019-02-03,False,2017-02-06,October,Oct
2018-10-25,263,9,2018,38,2,,2018-10-28,2019-02-03,False,2017-02-06,October,Oct
2018-10-26,264,9,2018,38,2,,2018-10-28,2019-02-03,False,2017-02-06,October,Oct
2018-10-27,265,9,2018,38,2,,2018-10-28,2019-02-03,True,2017-02-06,October,Oct
2018-10-28,266,9,2018,38,2,,2018-10-28,2019-02-03,False,2017-02-06,October,Oct
2018-10-29,267,9,2018,39,2,2018-11-04,2018-11-04,2019-02-03,False,2017-02-06,October,Oct
2018-10-30,268,9,2018,39,2,2018-11-04,2018-11-04,2019-02-03,False,2017-02-06,October,Oct
2018-10-31,269,9,2018,39,2,2018-11-04,2018-11-04,2019-02-03,False,2017-02-06,October,Oct
2018-11-01,270,9,2018,39,2,2018-11-04,2018-11-04,2019-02-03,False,2017-02-06,November,Nov
2018-11-02,271,9,2018,39,2,2018-11-04,2018-11-04,2019-02-03,False,2017-02-06,November,Nov
2018-11-03,272,9,2018,39,2,2018-11-04,2018-11-04,2019-02-03,True,2017-02-06,November,Nov
2018-11-04,273,9,2018,39,2,2018-11-04,2018-11-04,2019-02-03,False,2017-02-06,November,Nov
2018-11-05,274,10,2018,40,2,,2018-11-11,2019-02-03,False,2017-02-06,November,Nov
2018-11-06,275,10,2018,40,2,,2018-11-11,2019-02-03,False,2017-02-06,November,Nov
2018-11-07,276,10,2018,40,2,,2018-11-11,2019-02-03,False,2017-02-06,November,Nov
2018-11-08,277,10,2018,40,2,,2018-11-11,2019-02-03,False,2017-02-06,November,Nov
2018-11-09,278,10,2018,40,2,,2018-11-11,2019-02-03,False,2017-02-06,November,Nov
2018-11-10,279,10,2018,40,2,,2018-11-11,2019-02-03,True,2017-02-06,November,Nov
2018-11-11,280,10,2018,40,2,,2018-11-11,2019-02-03,False,2017-02-06,November,Nov
